,TC,平均数,方差,TN,平均数,方差,SOM,平均数,方差,,,,,,,,,
JCK1,38.872,31.402,6.579382646,2.0607,1.9156,0.137350683,42.38740795,38.53379606,4.150489311,,,,,,,,,
JCK2,28.866,,,1.7876,,,34.13943706,,,,,,,,,,,
JCK3,26.468,,,1.8985,,,39.07454316,,,,,,,,,,,
JB1,58.156,55.384,3.002298619,2.0204,2.2573,0.212892297,92.08308084,84.8909988,6.295342047,,,,,,,,,
JB2,52.195,,,2.4326,,,80.38019092,,,,,,,,,,,
JB3,55.801,,,2.3189,,,82.20972463,,,,,,,,,,,
JF1,62.069,58.45233333,4.099540625,3.3089,3.6453,0.673292448,93.46950335,92.17020864,1.242170259,,,,,,,,,
JF2,53.999,,,3.2065,,,90.99438461,,,,,,,,,,,
JF3,59.289,,,4.4205,,,92.04673795,,,,,,,,,,,
JL1,32.648,30.53433333,1.831924216,2.0021,1.997266667,0.050922326,41.75302735,41.14575566,1.571250549,,,,,,,,,
JL2,29.405,,,1.9441,,,39.36149694,,,,,,,,,,,
JL3,29.55,,,2.0456,,,42.3227427,,,,,,,,,,,
JA1,31.169,29.98266667,1.332476016,2.3535,2.207366667,0.182866655,41.61405897,39.28801953,2.028340478,,,,,,,,,
JA2,28.541,,,2.0023,,,38.36231919,,,,,,,,,,,
JA3,30.238,,,2.2663,,,37.88768043,,,,,,,,,,,
JAB1,57.211,61.32666667,3.615841027,2.475,2.816166667,0.376123096,84.62160268,100.3889506,13.80979198,,,,,,,,,
JAB2,63.993,,,2.754,,,110.3350042,,,,,,,,,,,
JAB3,62.776,,,3.2195,,,106.2102448,,,,,,,,,,,
JAF1,52.43,67.514,15.93801911,3.0145,5.007866667,1.925660552,79.89381234,96.22028837,15.92202266,,,,,,,,,
JAF2,84.187,,,6.8578,,,111.7044171,,,,,,,,,,,
JAF3,65.925,,,5.1513,,,97.06263566,,,,,,,,,,,
JAL1,31.273,31.034,0.865610189,2.2113,2.126633333,0.097986394,46.27068864,41.79685609,3.894642279,,,,,,,,,
JAL2,30.074,,,2.0193,,,39.95598933,,,,,,,,,,,
JAL3,31.755,,,2.1493,,,39.1638903,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CK,31.402,6.579382646,,,1.9156,0.137350683,,38.53379606,4.150489311,,,,,,,,,
B,55.384,3.002298619,,,2.2573,0.212892297,,84.8909988,6.295342047,,,,,,,,,
F,58.45233333,4.099540625,,,3.6453,0.673292448,,92.17020864,1.242170259,,,,,,,,,
L,30.53433333,1.831924216,,,1.997266667,0.050922326,,41.14575566,1.571250549,,,,,,,,,
A,29.98266667,1.332476016,,,2.207366667,0.182866655,,39.28801953,2.028340478,,,,,,,,,
AB,61.32666667,3.615841027,,,2.816166667,0.376123096,,100.3889506,13.80979198,,,,,,,,,
AF,67.514,15.93801911,,,5.007866667,1.925660552,,96.22028837,15.92202266,,,,,,,,,
AL,31.034,0.865610189,,,2.126633333,0.097986394,,41.79685609,3.894642279,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NH4,平均数,方差,NO3,平均数,方差,AP,平均数,方差,AK,平均数,方差,pH,平均数,方差,CEC,,平均数,方差
13.04,13.37,0.503884907,19.645,18.47166667,2.745001518,32.8,28.15,5.519737313,386,421.5,30.79366818,8.36,8.443333333,0.076376262,38.69565217,1,45.79710145,6.150995945
13.12,,,15.335,,,22.05,,,441,,,8.46,,,49.23913043,1,,
13.95,,,20.435,,,29.6,,,437.5,,,8.51,,,49.45652174,1,,
14.125,12.98833333,1.284380525,15.52,14.575,2.363699431,41,36.18333333,4.928573154,633,641,15.17399091,8.27,8.27,0.01,45.65217391,2,48.6231884,6.111492989
13.245,,,11.885,,,31.15,,,631.5,,,8.28,,,44.56521739,2,,
11.595,,,16.32,,,36.4,,,658.5,,,8.26,,,55.65217391,2,,
37.31,30.36166667,6.017550027,11.275,9.943333333,3.160428505,366.25,372.1666667,54.6158936,1086,1201,145.8115222,8.56,8.556666667,0.055075705,43.47826087,3,48.80434783,5.031798695
26.925,,,6.335,,,320.75,,,1152,,,8.61,,,49.45652174,3,,
26.85,,,12.22,,,429.5,,,1365,,,8.5,,,53.47826087,3,,
15.06,15.24166667,0.212269483,10.36,13.14333333,3.530808453,30.8,34.61666667,4.548717768,377,387.5,30.63086678,8.91,8.906666667,0.015275252,37.7173913,4,42.28260869,4.85980194
15.475,,,17.115,,,39.65,,,422,,,8.89,,,41.73913043,4,,
15.19,,,11.955,,,33.4,,,363.5,,,8.92,,,47.39130435,4,,
15.78,15.49,2.209321163,19.105,17.85,6.045992474,58.75,48.96666667,11.98377375,598.5,494.3333333,91.49089208,8.3,8.363333333,0.056862407,37.7173913,5,41.34057971,3.167752609
13.15,,,23.17,,,35.6,,,457.5,,,8.41,,,43.58695652,5,,
17.54,,,11.275,,,52.55,,,427,,,8.38,,,42.7173913,5,,
14.22,15.32,1.844966124,14.99,19.48333333,5.699978801,60.95,68,20.50506035,486.5,677.1666667,168.38745,8.2,8.2,0.09,37.39130435,6,41.55797102,6.751683027
14.29,,,25.895,,,51.95,,,739.5,,,8.11,,,37.93478261,6,,
17.45,,,17.565,,,91.1,,,805.5,,,8.29,,,49.34782609,6,,
31.985,36.56666667,8.083350687,14.845,9.726666667,4.435403965,275.25,501.75,209.7373357,1267.5,1604.5,456.484118,8.42,8.566666667,0.136503968,54.7826087,7,52.5,2.978736874
45.9,,,7.01,,,689.25,,,2124,,,8.59,,,53.58695652,7,,
31.815,,,7.325,,,540.75,,,1422,,,8.69,,,49.13043478,7,,
13.585,14.095,1.166822609,22.585,17.04666667,5.337804636,54.75,46.31666667,8.187236001,538.5,329,227.7998025,8.66,8.833333333,0.150443788,37.39130435,8,43.11594203,8.454071775
15.43,,,16.62,,,38.4,,,86.5,,,8.91,,,52.82608696,8,,
13.27,,,11.935,,,45.8,,,362,,,8.93,,,39.13043478,8,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CK,13.37,0.503884907,,18.47166667,2.745001518,,28.15,5.519737313,,421.5,30.79366818,,8.443333333,0.076376262,,,45.79710145,6.150995945
B,12.98833333,1.284380525,,14.575,2.363699431,,36.18333333,4.928573154,,641,15.17399091,,8.27,0.01,,,48.6231884,6.111492989
F,30.36166667,6.017550027,,9.943333333,3.160428505,,372.1666667,54.6158936,,1201,145.8115222,,8.556666667,0.055075705,,,48.80434783,5.031798695
L,15.24166667,0.212269483,,13.14333333,3.530808453,,34.61666667,4.548717768,,387.5,30.63086678,,8.906666667,0.015275252,,,42.28260869,4.85980194
A,15.49,2.209321163,,17.85,6.045992474,,48.96666667,11.98377375,,494.3333333,91.49089208,,8.363333333,0.056862407,,,41.34057971,3.167752609
AB,15.32,1.844966124,,19.48333333,5.699978801,,68,20.50506035,,677.1666667,168.38745,,8.2,0.09,,,41.55797102,6.751683027
AF,36.56666667,8.083350687,,9.726666667,4.435403965,,501.75,209.7373357,,1604.5,456.484118,,8.566666667,0.136503968,,,52.5,2.978736874
AL,14.095,1.166822609,,17.04666667,5.337804636,,46.31666667,8.187236001,,329,227.7998025,,8.833333333,0.150443788,,,43.11594203,8.454071775
