,PH,Treatment1,Treatment2
JCK1-1,51.2,JCK1,JCK
JCK1-2,50.3,JCK1,JCK
JCK1-6,49.8,JCK1,JCK
JCK1-8,49.2,JCK1,JCK
JCK1-9,49,JCK1,JCK
JCK1-10,48.8,JCK1,JCK
JCK1-12,48.2,JCK1,JCK
JCK1-13,49.7,JCK1,JCK
JCK1-15,49.2,JCK1,JCK
JCK2-2,49.7,JCK2,JCK
JCK2-3,46,JCK2,JCK
JCK2-4,47.6,JCK2,JCK
JCK2-5,49.2,JCK2,JCK
JCK2-6,49.2,JCK2,JCK
JCK2-7,49.2,JCK2,JCK
JCK2-8,49.5,JCK2,JCK
JCK2-9,49.4,JCK2,JCK
JCK2-10,49.4,JCK2,JCK
JCK2-12,48.5,JCK2,JCK
JCK2-13,49.8,JCK2,JCK
JCK2-14,49.3,JCK2,JCK
JCK2-15,51.2,JCK2,JCK
JCK3-2,49.9,JCK3,JCK
JCK3-3,48.5,JCK3,JCK
JCK3-8,50.6,JCK3,JCK
JCK3-9,47.9,JCK3,JCK
JB1-1,50.9,JB1,JB
JB1-2,52.2,JB1,JB
JB1-3,48.6,JB1,JB
JB1-5,49.7,JB1,JB
JB1-6,47.1,JB1,JB
JB1-8,49.3,JB1,JB
JB1-10,48.3,JB1,JB
JB1-12,53.2,JB1,JB
JB1-13,49.6,JB1,JB
JB1-14,52.5,JB1,JB
JB1-15,54.2,JB1,JB
JB2-1,48.5,JB2,JB
JB2-2,53.2,JB2,JB
JB2-3,49.6,JB2,JB
JB2-4,47.2,JB2,JB
JB2-5,50.1,JB2,JB
JB2-6,47.6,JB2,JB
JB2-12,49.8,JB2,JB
JB3-1,54,JB3,JB
JB3-2,49,JB3,JB
JB3-3,51.2,JB3,JB
JB3-4,50.6,JB3,JB
JB3-5,51.3,JB3,JB
JB3-6,48.6,JB3,JB
JB3-7,53,JB3,JB
JB3-8,55.2,JB3,JB
JB3-9,51.2,JB3,JB
JB3-10,51.8,JB3,JB
JB3-11,53,JB3,JB
JB3-12,53,JB3,JB
JB3-13,54.5,JB3,JB
JB3-14,52.9,JB3,JB
JB3-15,50,JB3,JB
JF1-1,50.4,JF1,JF
JF1-2,48.4,JF1,JF
JF1-6,52,JF1,JF
JF1-7,52.5,JF1,JF
JF1-9,51.8,JF1,JF
JF1-10,53.8,JF1,JF
JF1-11,49,JF1,JF
JF1-12,49.8,JF1,JF
JF1-13,50,JF1,JF
JF2-4,48,JF2,JF
JF2-5,48.9,JF2,JF
JF2-6,49.2,JF2,JF
JF2-7,47.8,JF2,JF
JF2-8,51.6,JF2,JF
JF2-9,48.9,JF2,JF
JF2-10,49,JF2,JF
JF3-1,47.1,JF3,JF
JF3-2,50.2,JF3,JF
JF3-8,48.2,JF3,JF
JF3-9,47.2,JF3,JF
JF3-10,47.1,JF3,JF
JF3-13,49.1,JF3,JF
JF3-14,50.1,JF3,JF
JF3-15,50.7,JF3,JF
JL1-2,49.2,JL1,JL
JL1-6,48.6,JL1,JL
JL1-7,47.5,JL1,JL
JL1-8,47.4,JL1,JL
JL1-15,48,JL1,JL
JL2-1,49.2,JL2,JL
JL2-2,47.8,JL2,JL
JL2-3,52.2,JL2,JL
JL2-4,54.3,JL2,JL
JL2-5,56.2,JL2,JL
JL2-6,49.1,JL2,JL
JL2-7,48.4,JL2,JL
JL2-8,53.6,JL2,JL
JL2-9,52.6,JL2,JL
JL2-10,52.1,JL2,JL
JL2-12,51.5,JL2,JL
JL2-14,55.2,JL2,JL
JL2-15,50,JL2,JL
JL3-1,49,JL3,JL
JL3-4,49.4,JL3,JL
JL3-5,48,JL3,JL
JL3-6,48,JL3,JL
JL3-7,47.6,JL3,JL
JL3-9,48,JL3,JL
JL3-10,47.1,JL3,JL
JL3-12,52.4,JL3,JL
JL3-13,49.1,JL3,JL
JL3-14,48.1,JL3,JL
JL3-15,48,JL3,JL
JA1-1,51.2,JA1,JA
JA1-2,50.9,JA1,JA
JA1-5,50,JA1,JA
JA1-8,51,JA1,JA
JA1-10,50,JA1,JA
JA1-11,50.6,JA1,JA
JA1-12,51.2,JA1,JA
JA1-13,50.9,JA1,JA
JA1-14,49.9,JA1,JA
JA1-15,51.2,JA1,JA
JA2-1,49.2,JA2,JA
JA2-4,50.7,JA2,JA
JA2-6,48.7,JA2,JA
JA2-8,50.8,JA2,JA
JA2-9,49.8,JA2,JA
JA2-11,49.2,JA2,JA
JA2-14,48.6,JA2,JA
JA3-1,48.6,JA3,JA
JA3-2,49.1,JA3,JA
JA3-4,48.4,JA3,JA
JA3-5,51,JA3,JA
JA3-7,48.4,JA3,JA
JA3-8,50,JA3,JA
JA3-9,47.6,JA3,JA
JA3-11,50.4,JA3,JA
JA3-12,50.6,JA3,JA
JA3-15,51,JA3,JA
JAB1-2,48.2,JAB1,JAB
JAB1-3,47.6,JAB1,JAB
JAB1-6,50.1,JAB1,JAB
JAB1-7,46,JAB1,JAB
JAB1-8,48.5,JAB1,JAB
JAB1-14,50.2,JAB1,JAB
JAB1-15,48.6,JAB1,JAB
JAB2-2,49.8,JAB2,JAB
JAB2-3,49.2,JAB2,JAB
JAB2-4,41.6,JAB2,JAB
JAB2-5,47.3,JAB2,JAB
JAB2-6,48,JAB2,JAB
JAB2-11,49,JAB2,JAB
JAB2-13,50,JAB2,JAB
JAB3-3,47.5,JAB3,JAB
JAB3-8,46,JAB3,JAB
JAB3-11,47.5,JAB3,JAB
JAB3-15,46.8,JAB3,JAB
JAF1-5,47.2,JAF1,JAF
JAF1-7,46.8,JAF1,JAF
JAF1-10,46,JAF1,JAF
JAF1-11,47.2,JAF1,JAF
JAF1-12,47.8,JAF1,JAF
JAF1-13,48,JAF1,JAF
JAF1-15,46.2,JAF1,JAF
JAF2-5,46.5,JAF2,JAF
JAF2-8,46.8,JAF2,JAF
JAF2-11,46.4,JAF2,JAF
JAF2-12,46.6,JAF2,JAF
JAF2-13,47.2,JAF2,JAF
JAF2-14,46.2,JAF2,JAF
JAF2-15,47.2,JAF2,JAF
JAF3-1,46.5,JAF3,JAF
JAF3-2,46.4,JAF3,JAF
JAF3-4,45.6,JAF3,JAF
JAF3-5,50.4,JAF3,JAF
JAF3-7,50.8,JAF3,JAF
JAF3-8,47.5,JAF3,JAF
JAF3-10,48.6,JAF3,JAF
JAF3-11,50.9,JAF3,JAF
JAF3-12,46.5,JAF3,JAF
JAF3-13,46.3,JAF3,JAF
JAF3-14,51.2,JAF3,JAF
JAF3-15,49,JAF3,JAF
JAL1-8,47,JAL1,JAL
JAL1-11,47.2,JAL1,JAL
JAL1-14,46,JAL1,JAL
JAL1-15,47.5,JAL1,JAL
JAL2-1,50.2,JAL2,JAL
JAL2-2,50,JAL2,JAL
JAL2-4,52.2,JAL2,JAL
JAL2-5,51.1,JAL2,JAL
JAL2-6,50,JAL2,JAL
JAL2-7,52.1,JAL2,JAL
JAL2-8,52.5,JAL2,JAL
JAL2-9,48.2,JAL2,JAL
JAL2-10,49.8,JAL2,JAL
JAL2-11,49,JAL2,JAL
JAL2-12,48.1,JAL2,JAL
JAL2-13,47.5,JAL2,JAL
JAL2-14,50,JAL2,JAL
JAL2-15,48.5,JAL2,JAL
JAL3-1,47.1,JAL3,JAL
JAL3-2,49.2,JAL3,JAL
JAL3-3,54,JAL3,JAL
JAL3-4,47,JAL3,JAL
JAL3-5,45,JAL3,JAL
JAL3-6,51.1,JAL3,JAL
JAL3-9,47.6,JAL3,JAL
JAL3-12,51.9,JAL3,JAL
JAL3-13,52.2,JAL3,JAL
JAL3-15,48.8,JAL3,JAL
